"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-08-02 01:00:00",33055,-5.973,0.343,-0.517,0.147,370.4,0.921,429.5,1.182,24.3,0.23,-5.456,0.355,-59.15,1.449,0.087,0.025,364.4,1.09,429,1.216,-64.61,1.56,21.87,0.203,11.14,0.177,0,0.007,23.85872
"2017-08-02 02:00:00",33056,-5.564,0.366,-0.424,0.231,369.4,0.847,426.6,0.594,23.9,0.11,-5.14,0.251,-57.23,0.49,0.074,0.039,363.8,0.968,426.2,0.602,-62.37,0.631,21.36,0.103,10.95,0.163,0,0.007,23.91063
"2017-08-02 03:00:00",33057,-5.622,0.832,-0.896,0.427,367.5,2.038,424,1.803,23.69,0.458,-4.726,0.635,-56.52,0.463,0.155,0.07,361.9,2.206,423.1,2.034,-61.24,0.826,20.91,0.313,10.58,0.394,0.541,0.291,1046.105
"2017-08-02 04:00:00",33058,22.34,22.71,1.97,1.925,366,1.257,421,0.432,21.91,0.753,20.37,20.8,-55.01,1.323,"NAN","NAN",388.3,22.94,423,2.12,-34.64,20.9,20.4,0.075,10.3,0.243,32.51,40,143985.8
"2017-08-02 05:00:00",33059,89.2,67.97,8.6,6.783,366,5.301,424.1,3.613,20.91,0.418,80.6,61.23,-58.13,5.521,0.095,0.011,455.1,69.14,432.7,10.14,22.44,59.08,20.93,0.623,10.29,0.988,72.49,137.4,494779.8
"2017-08-02 06:00:00",33060,262.6,55.23,23.31,5.535,372.6,2.032,449.7,6.731,24.53,1.135,239.3,49.74,-77.09,5.018,0.088,0.004,635.2,54.18,473,7.954,162.2,50.21,25.27,1.122,11.57,0.388,119.4,406.3,1462543
"2017-08-02 07:00:00",33061,411.6,95.1,39.26,9.15,380.6,4.74,476.6,13.96,27.39,1.54,372.3,86,-96,9.35,0.095,0.002,792.1,99.6,515.9,23.02,276.3,76.78,29.62,2.217,13.08,0.89,293.6,599.8,2159190
"2017-08-02 08:00:00",33062,583.3,106.7,59.6,12.53,398.7,10.19,514.3,9.35,30.99,0.589,523.7,94.3,-115.6,4.954,0.102,0.004,982,108.5,573.9,18.73,408.1,92.2,35.45,1.401,16.42,1.83,233.3,1022,3680943
