"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-30 01:00:00",32983,-6.065,0.177,-0.734,0.108,332.3,0.705,390.2,1.216,17.5,0.169,-5.331,0.142,-57.92,0.576,0.121,0.016,326.2,0.79,389.5,1.21,-63.25,0.563,14.88,0.224,3.537,0.147,0.001,0.006,21.36161
"2017-07-30 02:00:00",32984,-5.796,0.296,-0.694,0.133,331.2,0.424,387.8,0.547,17.13,0.202,-5.103,0.195,-56.59,0.247,0.119,0.019,325.4,0.365,387.1,0.483,-61.69,0.388,14.42,0.101,3.305,0.088,0.001,0.006,21.52511
"2017-07-30 03:00:00",32985,-5.502,0.557,-0.759,0.127,329.3,0.472,384.7,0.876,16.51,0.126,-4.743,0.483,-55.39,0.486,0.138,0.019,323.8,0.528,384,0.852,-60.13,0.867,13.85,0.163,2.915,0.099,0.91,0.528,1901.54
"2017-07-30 04:00:00",32986,23.71,23.45,1.48,1.61,328.2,0.773,384.2,0.624,15.61,0.739,22.23,21.84,-56.01,1.204,"-INF","NAN",351.9,22.75,385.7,2.124,-33.79,20.67,13.77,0.116,2.685,0.162,37.19,48.02,172885
"2017-07-30 05:00:00",32987,145.5,43.85,9.47,3.18,328.8,1.503,394.7,5.579,16.12,1.023,136,40.74,-65.9,4.116,0.065,0.004,474.3,45.3,404.1,8.74,70.14,36.63,15.69,1.019,2.796,0.315,63.52,211.2,760245.4
"2017-07-30 06:00:00",32988,307.4,47.39,23.68,5.15,337.2,3.169,421.1,9.75,20.65,1.598,283.7,42.31,-83.9,6.615,0.076,0.005,644.6,50.53,444.8,14.87,199.8,35.73,20.4,1.698,4.55,0.652,188.1,461.5,1661436
"2017-07-30 07:00:00",32989,481.2,49.7,44.6,6.724,346.9,2.868,455.2,9.8,23.45,0.555,436.6,43.05,-108.4,6.999,0.092,0.005,828,52.5,499.8,16.47,328.2,36.08,26.17,1.611,6.515,0.578,342.4,647.2,2330090
"2017-07-30 08:00:00",32990,637.5,40.24,64.62,5.439,358.4,3.674,490.9,10.46,26.42,1.119,572.9,34.9,-132.6,6.85,0.101,0.003,996,43.86,555.6,15.82,440.3,28.11,31.88,1.625,8.81,0.723,223,1090,3924139
