"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-26 01:00:00",32887,-6.235,0.632,-0.701,0.312,320.9,3.62,382.9,1.964,16.83,0.181,-5.534,0.548,-62.05,1.861,0.111,0.045,314.7,4.187,382.2,2.098,-67.58,2.339,13.52,0.368,1.126,0.771,0.001,0.006,20.27757
"2017-07-26 02:00:00",32888,-5.568,0.85,-0.544,0.545,321,11.52,378.8,1.572,15.72,0.335,-5.024,0.722,-57.82,10.24,0.091,0.103,315.4,11.97,378.3,1.506,-62.84,10.9,12.75,0.297,1.118,2.426,0.001,0.006,22.59418
"2017-07-26 03:00:00",32889,-5.236,0.935,-0.067,0.405,310.1,0.902,374.6,1.109,14.82,0.172,-5.169,0.595,-64.45,0.324,-0.001,0.083,304.9,1.335,374.5,1.24,-69.62,0.738,11.95,0.211,-1.2,0.197,1.275,0.796,2864.037
"2017-07-26 04:00:00",32890,24.2,29.32,1.997,1.91,307.9,1.086,374.3,0.886,14.47,0.565,22.2,27.44,-66.4,1.888,"INF","NAN",332.1,28.28,376.3,2.755,-44.2,25.57,11.89,0.169,-1.688,0.24,41.35,49.98,179928.6
"2017-07-26 05:00:00",32891,165.5,47.38,11.66,3.798,307.3,1.568,384.6,5.621,14.37,0.793,153.9,43.6,-77.37,4.077,0.07,0.003,472.8,48.92,396.3,9.41,76.49,39.58,13.84,1.047,-1.828,0.346,67.99,223.9,806062.9
"2017-07-26 06:00:00",32892,341.8,53.39,30.92,6.593,311.6,0.833,404.3,5.989,16.16,0.326,310.8,46.81,-92.7,5.215,0.09,0.006,653.4,54.13,435.2,12.53,218.1,41.64,17.43,1.076,-0.876,0.182,195.5,468.5,1686635
"2017-07-26 07:00:00",32893,491.5,123,48.78,11.87,320.6,7.663,425.4,6.375,17.5,0.459,442.7,111.4,-104.8,5.028,0.1,0.008,812,123.1,474.2,15.43,338,109.4,21.15,1.102,1.055,1.618,388.9,584.4,2103838
"2017-07-26 08:00:00",32894,624.9,198.6,65.68,20.26,332.2,9.47,445,8.55,18.66,0.438,559.2,178.6,-112.8,15.89,0.106,0.008,957,194.4,510.7,26.35,446.4,170,24.48,1.432,3.497,1.952,372.7,1039,3741242
