"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-05-22 01:00:00",31327,-1.964,0.266,-0.649,0.185,378.3,1.609,394.3,0.561,16.67,0.24,-1.315,0.127,-15.96,1.208,0.326,0.055,376.4,1.499,393.6,0.469,-17.28,1.224,15.62,0.103,12.65,0.304,0.001,0.012,42.90279
"2017-05-22 02:00:00",31328,-2.299,0.265,-0.494,0.066,366.3,5.053,390.8,1.188,16.08,0.134,-1.805,0.302,-24.45,4.268,0.22,0.051,364,5.296,390.3,1.144,-26.26,4.533,14.97,0.219,10.35,0.976,0.002,0.011,38.50441
"2017-05-22 03:00:00",31329,-1.943,1.325,-0.344,0.091,354.7,9.2,386.5,1.144,15.62,0.123,-1.599,1.298,-31.8,8.61,"NAN","NAN",352.8,10.3,386.2,1.088,-33.4,9.76,14.19,0.212,8.07,1.819,1.57,1.506,5421.905
"2017-05-22 04:00:00",31330,32.81,28.72,3.607,3.495,347.5,11.69,385.4,1.123,14.52,0.841,29.2,25.24,-37.87,10.84,0.094,0.028,380.3,19.23,389,2.954,-8.67,16.34,13.98,0.209,6.616,2.363,43.74,56.52,203474.2
"2017-05-22 05:00:00",31331,180.6,47.81,16.55,4.426,309.9,2.608,388.5,2.322,14.08,0.151,164.1,43.48,-78.64,4.583,0.092,0.007,490.5,46.12,405.1,6.599,85.4,39.6,14.56,0.429,-1.255,0.569,64.42,280.3,1009131
"2017-05-22 06:00:00",31332,367.5,94.9,34.77,9.76,310.4,1.703,404.9,8.32,15.13,0.573,332.7,85.2,-94.6,6.827,0.094,0.004,677.8,96.3,439.7,17.83,238.1,78.65,17.54,1.492,-1.151,0.373,183.8,532,1915136
"2017-05-22 07:00:00",31333,471,126.8,47.85,12.98,325.2,8.59,425.5,4.544,16.25,0.314,423.1,114.1,-100.3,8.44,0.102,0.006,796.2,124.7,473.3,16.13,322.9,109.3,21.17,0.783,2.025,1.816,204,761.8,2742424
"2017-05-22 08:00:00",31334,641,111.1,67,12.45,323.2,5.343,448.5,8.6,18.07,0.832,574,98.8,-125.3,8.27,0.104,0.003,964,113.5,515.5,19.2,448.7,95.9,25.07,1.42,1.625,1.125,224.4,1091,3927836
