"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-15 01:00:00",31903,-5.946,0.451,-0.035,0.3,296.8,0.683,364.1,1.059,12.48,0.171,-5.911,0.237,-67.27,0.432,0.003,0.049,290.9,0.978,364.1,1.285,-73.18,0.513,9.93,0.206,-4.166,0.155,0,0.007,23.88265
"2017-06-15 02:00:00",31904,-6.273,0.351,-0.214,0.211,294.2,0.822,360.7,0.808,11.94,0.101,-6.059,0.226,-66.43,0.316,0.033,0.033,288,1.09,360.4,0.935,-72.49,0.435,9.26,0.158,-4.754,0.187,0.056,0.041,146.2071
"2017-06-15 03:00:00",31905,1.122,7.719,0.404,0.655,292.1,0.484,358.5,0.267,11.54,0.094,0.718,7.132,-66.44,0.427,"NAN","NAN",293.2,7.414,358.9,0.688,-65.72,6.79,8.84,0.052,-5.247,0.111,11.18,11.45,41237.79
"2017-06-15 04:00:00",31906,80.3,41.34,6.19,2.723,290,0.458,360.7,2.897,9.91,0.444,74.11,38.65,-70.69,2.692,0.08,0.01,370.3,41.48,366.9,5.516,3.415,35.98,9.27,0.566,-5.715,0.106,73.75,128.9,464059.3
"2017-06-15 05:00:00",31907,237.6,43.26,17.02,3.339,295.4,2.019,379.8,6.732,13.06,1.1,220.6,39.99,-84.4,4.752,0.072,0.003,533,45.21,396.8,9.98,136.1,35.28,12.93,1.268,-4.494,0.459,77.3,410.6,1478007
"2017-06-15 06:00:00",31908,395.9,51.29,34.76,6.387,302.4,2.273,406.1,8.69,15.97,0.696,361.1,45.11,-103.7,6.453,0.087,0.006,698.3,53.33,440.9,14.92,257.4,39.3,17.75,1.556,-2.912,0.508,148.1,648.5,2334774
"2017-06-15 07:00:00",31909,553.3,90.8,53.63,8.83,313.3,5.517,437.3,9.62,18.55,0.932,499.7,82.4,-124,4.673,0.097,0.007,867,93,491,16.2,375.7,80.3,23.19,1.632,-0.515,1.195,150.7,978,3519962
"2017-06-15 08:00:00",31910,410.2,230.3,43.07,23.33,336.9,8.37,437.9,8.17,18.08,0.358,367.2,207.5,-101,12.01,0.106,0.013,747.1,230.4,481,30.16,266.2,201.8,23.29,1.371,4.475,1.735,382.3,744.2,2679259
