"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-12 01:00:00",32551,-3.847,0.428,-0.173,0.176,356.4,1.58,402.4,0.305,19.25,0.112,-3.674,0.298,-46.08,1.553,0.041,0.044,352.5,1.686,402.3,0.422,-49.75,1.634,17.1,0.055,8.41,0.312,0.001,0.007,24.22005
"2017-07-12 02:00:00",32552,-4.189,0.513,-0.304,0.224,348.5,5.458,400.2,1.871,18.72,0.222,-3.885,0.44,-51.62,3.665,0.07,0.047,344.3,5.908,399.8,1.914,-55.51,4.084,16.69,0.339,6.847,1.095,0.006,0.01,37.0747
"2017-07-12 03:00:00",32553,-2.518,1.747,-0.265,0.261,343.4,3.277,395.8,1.037,18.31,0.084,-2.254,1.748,-52.35,2.417,"NAN","NAN",340.9,2.475,395.5,1.107,-54.6,1.998,15.9,0.189,5.823,0.668,3.939,3.482,12536.2
"2017-07-12 04:00:00",32554,39.25,41.13,3.204,3.763,342.6,5.214,395.3,2.056,17.41,0.735,36.05,37.4,-52.69,3.868,0.029,0.089,381.8,45.58,398.5,5.63,-16.64,40.03,15.81,0.375,5.648,1.061,60.05,74.85,269470.3
"2017-07-12 05:00:00",32555,159.3,83.9,12.12,5.901,333.9,2.374,403.8,5.345,17.48,0.858,147.2,78.09,-69.91,6.042,0.079,0.007,493.2,83.5,415.9,10.74,77.29,72.97,17.34,0.959,3.857,0.49,138.7,282.2,1015878
"2017-07-12 06:00:00",32556,360.9,50.28,30.43,6.598,337.5,1.459,423.9,6.195,19.61,0.281,330.5,43.7,-86.3,4.798,0.083,0.007,698.4,51.66,454.3,12.72,244.1,39,20.89,1.072,4.618,0.3,179,481.3,1732541
"2017-07-12 07:00:00",32557,533.4,47.25,50.41,5.115,342,1.139,448.4,7.718,21.05,0.566,483,42.15,-106.4,6.711,0.094,0.001,875,48.22,498.8,12.81,376.6,35.49,25.05,1.281,5.535,0.232,232.3,824,2966140
"2017-07-12 08:00:00",32558,695,77.42,69.92,8.53,345.6,2.405,471.1,6.173,22.43,0.336,625.1,69.14,-125.6,4.541,0.101,0.004,1041,78.39,541,13.6,499.5,66.68,28.76,0.988,6.253,0.484,257.3,1164,4191803
