"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-12 01:00:00",31831,-6.314,0.166,-0.297,0.173,314.1,0.303,378.8,1.038,15.42,0.259,-6.018,0.179,-64.64,0.812,0.047,0.027,307.8,0.384,378.5,1.191,-70.65,0.905,12.74,0.196,-0.323,0.066,0.001,0.007,23.85544
"2017-06-12 02:00:00",31832,-6.101,0.466,-0.288,0.19,313.1,0.64,375.7,0.983,14.64,0.177,-5.813,0.344,-62.61,0.504,0.046,0.027,307,0.915,375.4,1.077,-68.42,0.487,12.16,0.187,-0.546,0.139,0.046,0.035,124.895
"2017-06-12 03:00:00",31833,-2.863,2.466,-0.201,0.206,311.9,1.566,373.2,0.794,14.28,0.122,-2.662,2.375,-61.38,0.803,"NAN","NAN",309,1.191,373,0.772,-64.05,1.713,11.69,0.152,-0.824,0.342,6.815,7.676,27635.33
"2017-06-12 04:00:00",31834,52.65,48.02,4.808,4.175,313.6,5.379,374.1,1.822,12.83,0.901,47.84,43.89,-60.56,5.653,0.088,0.018,366.2,46.35,378.9,5.796,-12.72,40.58,11.86,0.346,-0.455,1.161,74.35,100.9,363116.3
"2017-06-12 05:00:00",31835,130.7,51.74,11.34,4.802,347,22.01,390.8,6.149,14.43,0.744,119.3,47.07,-43.86,16.13,0.086,0.01,477.6,53.93,402.2,8.41,75.46,46.98,14.98,1.137,6.432,4.482,80.4,237.5,854952.5
"2017-06-12 06:00:00",31836,144.6,65.93,14.66,6.807,370.8,5.428,402.3,2.792,15.76,0.354,130,59.16,-31.55,5.157,0.101,0.005,515.4,62.62,417,8.06,98.4,54.86,17.08,0.504,11.21,1.046,114.4,271.6,977922.6
"2017-06-12 07:00:00",31837,297.2,175.5,30.44,17.43,360.5,16.08,417.4,9.14,17.27,0.801,266.8,158.1,-56.9,24.13,0.103,0.002,657.8,162.6,447.9,26.22,209.9,136.6,19.76,1.581,9.18,3.191,307.6,545.8,1964755
"2017-06-12 08:00:00",31838,579.5,174.4,59.25,18.85,358.9,12.73,462.7,11.81,21.64,0.826,520.3,155.6,-103.8,4.134,0.102,0.004,938,178.1,522,26.82,416.5,153.7,27.39,1.914,8.89,2.508,307.5,1055,3796549
