"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-02 01:00:00",32311,-4.311,0.412,0.187,0.134,329.8,6.204,399.5,0.891,18.88,0.034,-4.498,0.444,-69.72,5.432,-0.043,0.032,325.5,6.517,399.7,0.833,-74.22,5.793,16.58,0.161,3.004,1.278,0.001,0.006,22.599
"2017-07-02 02:00:00",32312,-4.132,0.235,0.102,0.108,330.7,3.924,399.6,0.768,18.79,0.069,-4.233,0.226,-68.91,3.238,-0.025,0.026,326.5,4.072,399.7,0.74,-73.14,3.419,16.58,0.139,3.188,0.817,0.025,0.023,82.41438
"2017-07-02 03:00:00",32313,0.065,5.227,0.416,0.513,338.5,11.2,399,1.33,18.5,0.075,-0.352,4.722,-60.46,9.99,"NAN","NAN",338.6,15.94,399.4,1.81,-60.81,14.22,16.47,0.241,4.788,2.273,7.5,6.728,24219.23
"2017-07-02 04:00:00",32314,76.79,41.47,7.887,3.212,350,15.2,404.3,0.795,17.91,0.244,68.91,38.53,-54.32,15.47,0.113,0.03,426.8,29.69,412.2,3.877,14.58,26.34,17.44,0.143,7.097,3.038,73.11,122.5,440841.2
"2017-07-02 05:00:00",32315,143.6,35.09,15.23,2.94,365,11.11,412.3,1.748,18.16,0.086,128.4,32.28,-47.24,9.62,0.107,0.008,508.7,28.91,427.5,3.045,81.2,26.46,18.86,0.31,10.08,2.181,50.49,248,892636
"2017-07-02 06:00:00",32316,219.6,114.8,24.38,11.89,380.1,7.314,420.2,3.939,18.31,0.191,195.2,102.9,-40.05,9.51,0.112,0.004,599.7,109.5,444.6,14.95,155.2,94.8,20.25,0.687,12.99,1.385,185.5,389,1400413
"2017-07-02 07:00:00",32317,119.2,33.23,13.32,3.7,388.2,0.493,417.3,1.736,18.07,0.187,105.8,29.54,-29.07,1.721,0.112,0.002,507.4,33.2,430.6,5.186,76.77,28.15,19.74,0.305,14.5,0.091,63.63,236.1,850081.6
"2017-07-02 08:00:00",32318,162.2,32.78,18.02,3.445,388.3,0.612,419.1,2.639,17.93,0.193,144.2,29.35,-30.75,2.468,0.111,0.002,550.6,32.59,437.1,5.388,113.5,27.58,20.06,0.462,14.53,0.113,61.15,322.2,1159769
