"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-27 01:00:00",32911,-6.025,0.748,-0.799,0.42,322.7,4.89,379.1,1.018,15.87,0.41,-5.225,0.429,-56.43,5.188,0.127,0.06,316.6,5.58,378.3,1.053,-61.65,5.507,12.8,0.192,1.5,1.036,0.001,0.006,20.17587
"2017-07-27 02:00:00",32912,-5.268,0.594,-1.04,0.49,334.2,1.204,379.5,0.56,15.77,0.233,-4.228,0.275,-45.23,1.221,0.19,0.082,329,1.088,378.4,0.902,-49.46,1.243,12.87,0.106,3.937,0.25,0.001,0.007,23.62654
"2017-07-27 03:00:00",32913,-4.581,1.716,-0.851,0.311,327.9,4.207,377.6,1.076,15.48,0.203,-3.73,1.459,-49.69,3.238,"NAN","NAN",323.3,3.507,376.8,0.876,-53.42,2.896,12.52,0.204,2.613,0.884,1.49,0.88,3166.256
"2017-07-27 04:00:00",32914,27.09,21.62,1.828,1.68,317.8,3.936,375.9,0.574,14.15,0.696,25.27,19.98,-58.07,3.871,0.061,0.023,344.9,18.3,377.7,1.852,-32.8,16.53,12.2,0.109,0.469,0.847,34.09,52.3,188265.6
"2017-07-27 05:00:00",32915,165.4,73.11,13.19,5.84,322.5,4.087,387.1,7.68,14.39,1.165,152.2,67.31,-64.68,4.641,0.079,0.004,487.8,76.41,400.3,13.31,87.5,63.24,14.3,1.422,1.461,0.873,65.12,226.8,816620.6
"2017-07-27 06:00:00",32916,320.4,63.08,27.7,7.419,324.1,1.302,411.1,6.819,17.59,0.366,292.7,55.74,-87,5.635,0.085,0.007,644.6,64.15,438.8,13.93,205.8,50.85,18.64,1.206,1.819,0.276,168.5,458.4,1650242
"2017-07-27 07:00:00",32917,497.1,43.16,48.07,4.642,329.7,1.53,438.9,7.773,19.41,0.664,449,38.57,-109.3,6.352,0.097,0.002,827,44.57,487,12.31,339.7,32.38,23.46,1.314,2.982,0.32,312,662.5,2384916
"2017-07-27 08:00:00",32918,586,176,59.02,18.2,337.6,6.034,458.1,5.005,20.48,0.191,527,158.2,-120.5,7.944,0.101,0.008,924,174.1,517.1,21.46,406.5,153.4,26.65,0.82,4.62,1.233,333.8,983,3538532
