"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-03 01:00:00",32335,-1.831,0.157,-0.331,0.108,378.9,0.945,398.2,0.184,17.23,0.064,-1.5,0.145,-19.29,0.987,0.179,0.05,377.1,0.994,397.9,0.21,-20.79,1.054,16.34,0.033,12.77,0.178,0.001,0.009,33.90301
"2017-07-03 02:00:00",32336,-3.849,1.964,0.124,0.584,377.6,2.841,393.9,0.881,16.75,0.111,-3.973,2.529,-16.31,2.585,0.036,0.138,373.7,3.841,394,1.243,-20.28,4.23,15.55,0.161,12.51,0.538,0.005,0.012,43.28835
"2017-07-03 03:00:00",32337,-2.645,1.252,0.19,0.338,381.9,2.679,391.1,0.726,15.62,0.258,-2.835,1.212,-9.26,2.554,"INF","NAN",379.2,1.773,391.3,0.571,-12.09,1.724,15.04,0.133,13.32,0.504,1.989,1.71,6156.958
"2017-07-03 04:00:00",32338,21.23,15.03,2.42,1.519,358.9,14.88,390.2,1.204,15.5,0.651,18.81,13.52,-31.3,13.82,0.152,0.162,380.1,9.07,392.6,0.603,-12.49,8.7,14.87,0.222,8.87,2.95,28.93,47.94,172587.4
"2017-07-03 05:00:00",32339,171.8,114.5,15.83,9.89,321.3,8.87,392.3,6.195,15.09,0.626,156,104.7,-71.03,8.04,0.096,0.008,493.1,118.8,408.1,15.73,85,103.3,15.25,1.133,1.188,1.872,174.9,296.7,1068269
"2017-07-03 06:00:00",32340,279.7,127.5,29.11,13.11,349.8,13.52,409.6,7.045,16.19,0.36,250.6,114.5,-59.83,9.46,0.104,0.006,629.5,125.3,438.7,17.23,190.7,109.2,18.38,1.256,7.066,2.718,177.8,453.2,1631657
"2017-07-03 07:00:00",32341,207.5,44.15,23.28,4.725,366.8,3.854,414.2,3.022,16.42,0.263,184.2,39.44,-47.36,4.509,0.112,0.002,574.3,41.81,437.4,6.974,136.9,35.2,19.19,0.534,10.45,0.745,74.75,375.8,1352709
"2017-07-03 08:00:00",32342,449.3,269.7,48.91,28.8,348.7,13.67,428.9,11.91,17.51,0.758,400.4,241.1,-80.2,20.82,0.11,0.006,798,264.5,477.8,37.86,320.2,228.1,21.74,2.048,6.85,2.73,443.6,781.8,2814322
