"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-15 01:00:00",32623,-3.756,0.349,-0.558,0.107,352.8,2.896,391.2,1.157,16.42,0.295,-3.198,0.295,-38.41,2.872,0.148,0.024,349,3.188,390.6,1.118,-41.61,3.156,15.06,0.213,7.705,0.577,0.001,0.008,28.99649
"2017-07-15 02:00:00",32624,-2.851,0.181,-0.491,0.219,361.8,2.184,389.6,0.5,15.77,0.141,-2.361,0.171,-27.81,2.477,0.169,0.071,359,2.299,389.2,0.658,-30.17,2.611,14.77,0.092,9.49,0.427,0.001,0.01,34.64743
"2017-07-15 03:00:00",32625,-5.366,1.76,0.323,0.765,377.4,7.248,389.3,1.563,16.01,0.385,-5.689,2.48,-11.88,8.35,-0.014,0.154,372,5.668,389.6,1.235,-17.57,6.217,14.7,0.289,12.47,1.379,0.568,0.489,1759.357
"2017-07-15 04:00:00",32626,-0.725,2.44,0.326,0.514,377.6,0.869,383.3,0.892,14.42,0.361,-1.052,1.959,-5.712,0.696,"NAN","NAN",376.9,2.21,383.6,0.65,-6.764,2.411,13.59,0.167,12.52,0.164,3.962,7.55,27179.36
"2017-07-15 05:00:00",32627,9.49,5.443,1.412,0.345,376.8,0.7,383,0.41,14.22,0.181,8.08,5.173,-6.173,0.814,0.177,0.061,386.3,5.126,384.4,0.634,1.908,4.567,13.53,0.077,12.37,0.133,11.55,27.83,100199.9
"2017-07-15 06:00:00",32628,47.08,11.85,5.071,1.178,370.5,0.677,383.8,0.839,12.87,0.149,42.01,10.7,-13.27,1.159,0.108,0.006,417.6,11.49,388.9,1.898,28.74,9.71,13.68,0.157,11.17,0.13,22.57,99.1,356664
"2017-07-15 07:00:00",32629,59,16.63,6.54,1.509,367.2,5.974,385.8,1.143,13.24,0.19,52.46,15.13,-18.63,6.982,0.113,0.007,426.2,11.79,392.4,2.639,33.83,9.31,14.06,0.213,10.52,1.148,31.03,122.9,442477.9
"2017-07-15 08:00:00",32630,166.4,44,17.08,4.219,359.9,0.797,396.5,5.027,14.63,0.652,149.3,39.78,-36.57,4.386,0.103,0.002,526.3,44.6,413.6,9.22,112.7,35.42,16.03,0.917,9.12,0.156,77.4,316.2,1138194
