"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-08 01:00:00",32455,-5.117,0.397,-0.147,0.601,354.3,3.815,395.3,0.887,18.11,0.108,-4.97,0.322,-41,3.311,0.021,0.116,349.2,4.018,395.2,1.384,-45.97,3.127,15.81,0.162,8.01,0.757,0.001,0.007,24.54141
"2017-07-08 02:00:00",32456,-5.266,0.661,-0.737,0.52,341.8,2.421,391.7,0.976,17.75,0.155,-4.529,0.331,-49.95,1.513,0.13,0.093,336.5,2.847,391,1.365,-54.48,1.575,15.15,0.18,5.483,0.492,0.008,0.012,42.5575
"2017-07-08 03:00:00",32457,-0.385,5.211,-0.019,0.47,341,1.058,391.6,0.327,17.48,0.066,-0.366,4.807,-50.66,1.056,0.123,0.199,340.6,5.565,391.6,0.684,-51.03,5.112,15.13,0.06,5.32,0.216,6.683,5.652,20347.91
"2017-07-08 04:00:00",32458,45.91,29.8,4.065,2.592,342.2,4.11,393.5,1.888,16.5,0.587,41.85,27.28,-51.25,4.094,0.088,0.018,388.1,31.28,397.5,4.366,-9.4,26.95,15.47,0.346,5.573,0.83,46.76,81.6,293903.8
"2017-07-08 05:00:00",32459,132.3,41.19,10.15,3.729,343.1,3.434,402.6,2.949,17.35,0.344,122.1,37.52,-59.5,3.158,0.076,0.005,475.4,41.49,412.7,5.966,62.65,36.14,17.13,0.532,5.747,0.696,58.13,238.7,859193.2
"2017-07-08 06:00:00",32460,193.7,71.03,16.08,6.74,350.2,5.55,413.5,3.875,18.7,0.452,177.7,64.47,-63.35,5.439,0.082,0.009,543.9,71.57,429.6,9.67,114.3,62.64,19.08,0.682,7.18,1.108,90.4,334.9,1205690
"2017-07-08 07:00:00",32461,457.9,131.6,42.35,12.53,358.4,5.964,442.6,12.51,21.58,0.954,415.5,119.1,-84.2,17.17,0.092,0.003,816,126.6,485,24.46,331.3,103,24.07,2.108,8.81,1.164,229.5,731.4,2633164
"2017-07-08 08:00:00",32462,536.9,132,53.73,13.23,375.3,12.05,470,5.391,23.36,0.425,483.1,118.9,-94.7,10.57,0.1,0.003,912,125.9,523.7,15.79,388.4,111.1,28.59,0.865,12.06,2.292,203.6,920,3313289
