"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-07-28 01:00:00",32935,-4.96,0.789,-0.079,0.435,381.6,4.429,393.4,0.893,16.89,0.302,-4.882,1.032,-11.82,5.075,0.025,0.108,376.6,3.874,393.3,0.51,-16.7,4.174,15.46,0.164,13.26,0.837,0.001,0.008,28.86668
"2017-07-28 02:00:00",32936,-4.591,0.241,-0.185,0.433,383.5,3.501,391.2,0.903,16.36,0.093,-4.407,0.56,-7.734,2.637,0.042,0.093,378.9,3.604,391,1.251,-12.14,2.555,15.05,0.166,13.62,0.657,0.001,0.008,28.74315
"2017-07-28 03:00:00",32937,-4.345,0.482,-0.52,0.114,376.7,2.904,388.5,0.528,16.23,0.074,-3.825,0.459,-11.8,2.468,0.12,0.025,372.3,3.372,388,0.546,-15.63,2.894,14.55,0.098,12.34,0.549,0.515,0.332,1195.469
"2017-07-28 04:00:00",32938,-0.261,1.254,-0.334,0.171,381.4,0.565,390.2,0.338,16.45,0.097,0.073,1.165,-8.83,0.467,"NAN","NAN",381.1,1.518,389.9,0.441,-8.75,1.145,14.87,0.062,13.23,0.106,2.982,7.305,26299.18
"2017-07-28 05:00:00",32939,38.57,27.12,4.148,2.914,380.1,3.439,391.9,0.79,15.43,0.735,34.42,24.22,-11.82,4.119,0.093,0.052,418.7,23.84,396.1,3.657,22.6,20.22,15.19,0.145,12.99,0.647,50.56,82.2,295748.7
"2017-07-28 06:00:00",32940,107.7,15.79,10.69,1.236,377.6,1.692,397.8,2.887,15.44,0.426,97,14.57,-20.22,1.354,0.1,0.004,485.3,17.4,408.5,4.101,76.81,13.36,16.27,0.525,12.52,0.32,28.78,210.4,757584.8
"2017-07-28 07:00:00",32941,153.4,21.69,15.01,2.418,374.9,3.398,406.4,2.996,16.66,0.409,138.3,19.29,-31.55,5.825,0.098,0.002,528.2,19.34,421.4,5.361,106.8,14.1,17.82,0.535,12,0.645,41.26,296.7,1068130
"2017-07-28 08:00:00",32942,332.3,68.23,33.83,7.416,362.7,3.297,426.8,9.41,18.83,0.923,298.4,60.84,-64.1,9.65,0.101,0.002,695,67.31,460.6,16.16,234.3,52.44,21.39,1.625,9.65,0.643,119.5,613.5,2208738
