"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-20 01:00:00",32023,-6.322,0.233,-0.813,0.168,337.1,1.363,396.7,1.472,18.67,0.291,-5.509,0.314,-59.61,0.371,0.129,0.029,330.8,1.408,395.9,1.563,-65.12,0.426,16.07,0.268,4.528,0.281,0.001,0.006,21.12827
"2017-06-20 02:00:00",32024,-5.685,0.328,-0.531,0.199,334.4,0.648,392.9,1.073,17.83,0.18,-5.154,0.236,-58.54,0.496,0.092,0.035,328.7,0.541,392.4,1.057,-63.69,0.646,15.37,0.197,3.968,0.134,0.056,0.041,147.2893
"2017-06-20 03:00:00",32025,1.089,7.572,-0.126,0.545,331.5,0.864,389.7,0.709,17.45,0.109,1.215,7.06,-58.22,0.298,"-INF","NAN",332.6,7.097,389.6,0.718,-57.01,6.901,14.78,0.131,3.367,0.18,11.37,11.59,41715.43
"2017-06-20 04:00:00",32026,74.36,35.74,5.079,2.182,329,0.824,392,2.727,16.12,0.499,69.28,33.58,-62.99,2.787,0.07,0.005,403.4,35.54,397.1,4.782,6.295,30.8,15.21,0.5,2.856,0.173,67.44,125.7,452442.2
"2017-06-20 05:00:00",32027,207.9,42.12,13.91,3.332,333.7,2.356,409.6,6.662,19.25,1.024,194,38.87,-75.87,4.337,0.067,0.004,541.6,44.45,423.5,9.92,118.1,34.55,18.38,1.186,3.83,0.489,80.1,374.5,1348241
"2017-06-20 06:00:00",32028,373.6,50.3,32.65,6.247,340,1.813,434.6,8.9,21.77,0.804,341,44.12,-94.6,7.123,0.087,0.006,713.6,52.07,467.2,15.07,246.4,37.04,22.73,1.513,5.127,0.371,144.6,639.4,2301793
"2017-06-20 07:00:00",32029,549.1,50.57,51.26,5.359,347.9,2.578,469.2,10.48,25,0.983,497.8,45.35,-121.4,7.972,0.093,0.002,897,53.09,520.5,15.75,376.5,37.4,28.45,1.685,6.721,0.519,89.1,982,3533957
"2017-06-20 08:00:00",32030,700.4,38.08,69.85,5.309,354.7,1.531,499,7.288,26.59,0.306,630.6,32.84,-144.2,5.938,0.1,0.002,1055,39.4,568.8,12.56,486.3,27,33.13,1.118,8.09,0.303,66.79,1240,4465784
