"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-09 01:00:00",31759,-6.681,0.256,-0.182,0.226,301.4,0.643,369.8,1.233,13.52,0.161,-6.499,0.247,-68.44,0.654,0.027,0.034,294.7,0.801,369.7,1.423,-74.94,0.767,11.04,0.237,-3.134,0.144,0.001,0.007,24.06332
"2017-06-09 02:00:00",31760,-6.049,0.392,0.042,0.235,300.1,0.494,367.3,0.482,13,0.181,-6.091,0.356,-67.21,0.161,-0.008,0.039,294,0.489,367.3,0.581,-73.3,0.384,10.55,0.093,-3.43,0.111,0.045,0.034,120.6273
"2017-06-09 03:00:00",31761,0.324,7.356,0.269,0.449,298.3,0.758,364.6,0.694,12.61,0.088,0.055,6.922,-66.36,0.298,0.035,0.662,298.6,6.879,364.9,0.475,-66.3,6.93,10.03,0.135,-3.838,0.171,10.82,10.83,38983.63
"2017-06-09 04:00:00",31762,76.64,34.83,5.799,2.33,297.1,1.418,368.1,3.417,11.48,0.548,70.84,32.51,-71.05,3.576,0.078,0.005,373.7,34.83,373.9,5.677,-0.21,29.17,10.71,0.658,-4.104,0.315,66.29,122.2,439850
"2017-06-09 05:00:00",31763,220.8,46.97,16.44,4.668,301.8,2.895,386.3,7.185,14.35,1.083,204.4,42.33,-84.5,4.334,0.073,0.005,522.6,49.78,402.7,11.81,119.9,38.04,14.14,1.334,-3.052,0.647,81.8,380.7,1370562
"2017-06-09 06:00:00",31764,353.7,50.55,31.92,5.776,313.3,3.399,412.9,7.943,17.46,0.657,321.8,44.85,-99.6,4.576,0.09,0.004,667,53.34,444.8,13.36,222.2,41.1,18.96,1.401,-0.514,0.739,121.9,585.7,2108430
"2017-06-09 07:00:00",31765,499.2,86.7,49.19,9.25,318.3,1.169,439.8,8.94,19.73,0.623,450,77.48,-121.4,8.8,0.098,0.002,818,86.8,489,17.8,328.6,69.43,23.6,1.503,0.581,0.251,151.6,876,3152341
"2017-06-09 08:00:00",31766,713.6,43.16,73.89,5.892,323.9,2.2,471.9,8.14,21.66,0.318,639.7,37.33,-147.9,6.036,0.103,0.002,1038,45.22,545.8,13.95,491.8,31.52,28.88,1.306,1.773,0.467,80.5,1265,4554778
