"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-08-03 01:00:00",33079,-5.617,0.276,-0.94,0.167,370.7,1.282,421.8,1.034,22.93,0.288,-4.677,0.248,-51.12,0.376,0.167,0.026,365.1,1.238,420.9,0.926,-55.8,0.495,20.54,0.18,11.2,0.246,0,0.007,23.89894
"2017-08-03 02:00:00",33080,-5.513,0.122,-0.8,0.088,367.6,0.999,418.9,0.955,22.37,0.181,-4.712,0.161,-51.23,0.192,0.145,0.017,362.1,0.986,418.1,1.012,-55.94,0.246,20.02,0.167,10.61,0.193,0,0.007,23.76794
"2017-08-03 03:00:00",33081,-5.029,0.371,-0.654,0.187,364.9,0.826,415.7,0.88,21.62,0.285,-4.376,0.368,-50.81,0.326,0.13,0.037,359.9,0.538,415,0.836,-55.18,0.595,19.47,0.155,10.08,0.16,0.373,0.206,740.8975
"2017-08-03 04:00:00",33082,12.9,16.6,0.981,1.419,362.7,0.501,414.3,0.548,21.01,0.52,11.92,15.19,-51.59,0.725,"NAN","NAN",375.6,16.39,415.3,1.869,-39.66,14.54,19.22,0.097,9.66,0.098,26.22,31.45,113227.8
"2017-08-03 05:00:00",33083,119.4,45.77,8.72,3.158,362.6,1.045,422.5,5.176,20.96,0.832,110.7,42.65,-59.9,4.155,0.074,0.006,482,46.76,431.3,8.24,50.79,38.58,20.66,0.898,9.64,0.204,58.71,187.7,675554.8
"2017-08-03 06:00:00",33084,237.7,83.3,19.34,9.04,366.8,1.21,441.4,6.956,23.82,0.713,218.4,74.34,-74.64,5.918,0.077,0.014,604.5,84,460.7,15.35,143.8,69.45,23.88,1.166,10.45,0.234,161.8,367.5,1322836
"2017-08-03 07:00:00",33085,445.9,46.04,42.14,5.596,374.8,2.885,473,9.95,26.69,0.896,403.7,40.54,-98.3,7.129,0.094,0.004,821,48.84,515.2,15.45,305.5,33.51,29.06,1.589,11.98,0.548,302.4,575.4,2071309
"2017-08-03 08:00:00",33086,603.3,44.47,60.94,6.858,384.3,2.85,506.9,9.59,29.56,0.664,542.3,37.77,-122.7,6.83,0.101,0.004,988,47.21,567.9,16.34,419.7,31.04,34.34,1.455,13.77,0.532,209,1058,3807989
