"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-26 01:00:00",32167,-3.247,0.164,-0.401,0.054,388.2,2.994,423.7,0.961,22.08,0.107,-2.846,0.142,-35.49,2.744,0.123,0.015,384.9,3.069,423.3,0.98,-38.34,2.798,20.86,0.167,14.49,0.555,0.001,0.007,25.25736
"2017-06-26 02:00:00",32168,-3.093,0.145,-0.586,0.096,393.2,0.826,422.3,0.455,21.88,0.128,-2.507,0.13,-29.14,1.059,0.189,0.029,390.1,0.937,421.7,0.456,-31.65,1.157,20.63,0.079,15.42,0.152,0.015,0.017,60.49926
"2017-06-26 03:00:00",32169,-1.687,1.948,-0.694,0.266,392.7,1.215,420.4,0.832,21.56,0.256,-0.993,1.719,-27.61,0.666,"NAN","NAN",391.1,1.221,419.7,0.66,-28.61,1.63,20.28,0.145,15.34,0.223,3.132,2.811,10118.64
"2017-06-26 04:00:00",32170,10.42,6.761,0.583,0.802,389.7,1.897,418.8,0.401,21.19,0.428,9.83,5.993,-29.16,1.571,0.032,0.049,400.1,4.907,419.4,0.584,-19.33,4.446,20.02,0.07,14.78,0.351,12.7,25.23,90834.8
"2017-06-26 05:00:00",32171,103.3,63.87,11.09,6.092,361.8,14.82,419.3,2.286,19.48,0.208,92.2,57.79,-57.52,15.85,0.112,0.008,465.1,54,430.4,8.01,34.68,46.11,20.1,0.399,9.44,2.875,101.4,187.6,675245.3
"2017-06-26 06:00:00",32172,284.7,91.2,27.88,9.32,347.9,1.17,432.6,6.374,20.52,0.4,256.8,81.9,-84.6,5.973,0.098,0.002,632.6,91.5,460.5,15.24,172.2,76.52,22.39,1.082,6.737,0.235,149.8,437.7,1575610
"2017-06-26 07:00:00",32173,452.3,101.5,45.64,10.61,354.3,2.053,455.5,7.653,22.14,0.511,406.6,91,-101.2,6.843,0.101,0.003,807,102.3,501.2,17.31,305.4,86,26.23,1.255,8.01,0.407,181.7,730.7,2630581
"2017-06-26 08:00:00",32174,447.8,107.5,46.79,11.22,383.8,9.65,473.2,3.925,23.71,0.332,401,96.5,-89.4,7.582,0.104,0.004,832,108.8,520,13.82,311.6,95.4,29.1,0.625,13.67,1.831,175.1,806,2900261
