"TOA5","E7331","CR1000","E7331","CR1000.Std.26","CPU:rad_tower_v1_2.CR1","7834","Rad_dhm"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Up_Std","SR01Dn_Avg","SR01Dn_Std","IR01UpCo_Avg","IR01UpCo_Std","IR01DnCo_Avg","IR01DnCo_Std","NR01TC_Avg","NR01TC_Std","NetRs_Avg","NetRs_Std","NetRl_Avg","NetRl_Std","Albedo_Avg","Albedo_Std","UpTot_Avg","UpTot_Std","DnTot_Avg","DnTot_Std","NetTot_Avg","NetTot_Std","Tsurf_Avg","Tsurf_Std","Tsky_Avg","Tsky_Std","PAR_Std","PAR_Avg","PAR_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2",".",".","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Deg C","Deg C","Deg C","Deg C","umol/s/m^2","umol/s/m^2","umol/s/m^2"
"","","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Avg","Std","Std","Avg","Tot"
"2017-06-01 01:00:00",31567,-5.28,0.422,-0.048,0.346,315.6,1.038,385.9,1.747,16.75,0.332,-5.232,0.169,-70.31,1.589,0.004,0.067,310.3,1.279,385.9,2.026,-75.54,1.616,14.08,0.325,-0.009,0.225,0.001,0.006,21.95355
"2017-06-01 02:00:00",31568,-4.461,0.659,0.172,0.337,319.4,5.98,382.5,0.791,15.83,0.097,-4.633,0.473,-63.12,5.39,-0.048,0.085,314.9,6.421,382.7,0.91,-67.75,5.791,13.44,0.148,0.799,1.277,0.021,0.019,68.28448
"2017-06-01 03:00:00",31569,1.23,6.815,0.664,0.564,322.8,7.362,383.6,0.7,15.88,0.054,0.566,6.311,-60.79,6.781,"NAN","NAN",324,13.44,384.2,1.219,-60.22,12.36,13.64,0.131,1.518,1.567,8.56,7.763,27945.46
"2017-06-01 04:00:00",31570,64.01,44.14,6.38,3.527,312.7,5.996,384.6,1.58,14.68,0.406,57.63,40.65,-71.97,6.538,0.11,0.019,376.7,39.95,391,4.803,-14.34,35.19,13.84,0.294,-0.653,1.297,63.14,107.9,388362.3
"2017-06-01 05:00:00",31571,239.7,42.54,20.42,3.935,305.4,1.565,396.3,3.858,15.78,0.373,219.3,38.64,-90.9,5.379,0.085,0.002,545.1,41.05,416.7,7.769,128.4,33.31,15.99,0.704,-2.236,0.347,73.52,389.7,1403034
"2017-06-01 06:00:00",31572,404.1,49.92,37.63,5.275,304.5,1.644,414,6.695,16.84,0.445,366.5,44.66,-109.5,5.196,0.093,0.002,708.7,51.43,451.6,11.96,257.1,39.5,19.16,1.182,-2.433,0.365,190.6,537.3,1934115
"2017-06-01 07:00:00",31573,577.1,52.89,57.24,6.059,308.2,0.771,437.6,5.712,18.49,0.292,519.9,46.85,-129.5,6.24,0.099,0.002,885,52.33,494.9,11.69,390.4,40.77,23.25,0.968,-1.629,0.17,231,881,3172556
"2017-06-01 08:00:00",31574,740.7,41.33,76.87,5.638,307.1,1.057,454.1,4.936,19.04,0.26,663.8,35.72,-147,4.63,0.104,0.002,1048,41.34,531,10.3,516.8,31.4,26,0.812,-1.869,0.233,237,1191,4287033
